date,user,profil_user,nb_followers,contenu_tweet,nb_retweets
2025-01-18,user01,citoyen_engage,4468,La pression sur les services publics augmente. #Migration,13
2025-01-21,user02,etudiant,304,L'immigration est une richesse pour la société. #Frontieres,63
2024-08-30,user05,journaliste,987,Les politiques migratoires sont inefficaces. #PolitiqueMigratoire #Accueil,144
2024-11-06,user20,consultant,988,L'immigration manque de régulation. #Asile,41
2024-12-12,user19,militant_asso,3124,Les capacités d'accueil sont limitées. #Frontieres,101
2024-12-22,user04,enseignant,2520,Il faut mieux contrôler les frontières. #PolitiqueMigratoire,30
2024-08-07,user18,cadre_prive,3085,La pression sur les services publics augmente. #DebatPublic,17
2024-02-24,user16,blogueur,3601,Les politiques migratoires sont inefficaces. #DebatPublic,92
2025-01-10,user06,retraite,4324,Il faut mieux contrôler les frontières. #Travail #DebatPublic,69
2024-05-17,user19,militant_asso,2690,L'immigration manque de régulation. #Travail #Frontieres,62
2024-10-18,user15,urbaniste,3154,La diversité culturelle est un atout. #Travail,86
2024-06-30,user07,infirmiere,2166,Un débat apaisé est nécessaire. #Europe #Immigration,87
2024-04-07,user17,doctorant,751,Les politiques migratoires sont inefficaces. #Travail,61
2024-08-17,user16,blogueur,191,Les migrants contribuent à l'économie. #Asile,23
2024-07-07,user19,militant_asso,3926,Les politiques migratoires sont inefficaces. #PolitiqueMigratoire #Travail,141
2024-06-05,user09,chercheur,2109,L'accueil des migrants est une responsabilité collective. #Migration #Accueil,59
2024-04-20,user07,infirmiere,4016,Il faut mieux contrôler les frontières. #Migration #Frontieres,70
2024-04-26,user10,commercant,3006,Un débat apaisé est nécessaire. #Asile,45
2024-01-28,user02,etudiant,4583,Les capacités d'accueil sont limitées. #Migration #Immigration,74
2024-05-25,user19,militant_asso,3895,L'accueil des migrants est une responsabilité collective. #Asile,122
2024-02-28,user16,blogueur,585,Un débat apaisé est nécessaire. #Accueil,102
2024-10-15,user05,journaliste,2539,L'immigration manque de régulation. #Frontieres #DebatPublic,21
2024-08-14,user15,urbaniste,2485,La pression sur les services publics augmente. #Migration,150
2024-11-16,user07,infirmiere,1778,Les capacités d'accueil sont limitées. #Accueil,67
2024-02-08,user18,cadre_prive,1332,Un débat apaisé est nécessaire. #Asile #Immigration,0
2024-05-27,user08,chauffeur_vtc,2366,L'accueil des migrants est une responsabilité collective. #Frontieres #DebatPublic,116
2024-10-05,user04,enseignant,1891,Les capacités d'accueil sont limitées. #Immigration,38
2024-06-06,user06,retraite,4924,Les politiques migratoires sont inefficaces. #Travail,145
2024-12-24,user10,commercant,3347,Les politiques migratoires sont inefficaces. #Migration #Immigration,69
2025-01-11,user14,patron_pme,2690,L'accueil des migrants est une responsabilité collective. #Asile,64
2024-01-21,user19,militant_asso,1485,Les politiques migratoires sont inefficaces. #Accueil #DebatPublic,120
2024-02-16,user16,blogueur,3900,La diversité culturelle est un atout. #Accueil,89
2024-07-29,user11,agent_public,4108,Les politiques migratoires sont inefficaces. #Travail,73
2024-06-10,user03,employe_prive,2117,Les migrants contribuent à l'économie. #Europe,82
2024-07-30,user15,urbaniste,494,Il faut mieux contrôler les frontières. #Travail #Immigration,48
2024-05-16,user07,infirmiere,4549,Les politiques migratoires sont inefficaces. #Migration #Immigration,33
2024-05-02,user20,consultant,1347,Il faut mieux contrôler les frontières. #Migration #Frontieres,79
2024-08-24,user04,enseignant,1012,La diversité culturelle est un atout. #DebatPublic #Travail,39
2024-05-04,user16,blogueur,3791,L'accueil des migrants est une responsabilité collective. #Migration,141
2025-01-30,user09,chercheur,3449,Il faut mieux contrôler les frontières. #Immigration #Asile,87
2024-10-27,user10,commercant,4800,Les politiques migratoires sont inefficaces. #PolitiqueMigratoire #Europe,125
2025-01-25,user18,cadre_prive,4501,La diversité culturelle est un atout. #Frontieres,96
2024-07-15,user19,militant_asso,1963,Les migrants contribuent à l'économie. #DebatPublic #Accueil,105
2024-01-19,user16,blogueur,1084,La pression sur les services publics augmente. #Travail,128
2024-09-26,user04,enseignant,3793,Les politiques migratoires sont inefficaces. #Migration,3
2024-05-15,user16,blogueur,2823,La pression sur les services publics augmente. #PolitiqueMigratoire #Travail,101
2024-01-19,user18,cadre_prive,610,La pression sur les services publics augmente. #Migration,60
2024-02-20,user14,patron_pme,873,La diversité culturelle est un atout. #Immigration,113
2024-01-29,user11,agent_public,2453,L'accueil des migrants est une responsabilité collective. #Europe,91
2024-10-16,user14,patron_pme,1525,Un débat apaisé est nécessaire. #Frontieres #Travail,43
2024-03-14,user19,militant_asso,1952,Les politiques migratoires sont inefficaces. #Immigration #Travail,118
2024-12-12,user10,commercant,4527,La diversité culturelle est un atout. #DebatPublic #Asile,40
2024-06-03,user15,urbaniste,1681,L'immigration manque de régulation. #DebatPublic,98
2024-07-02,user19,militant_asso,4758,La pression sur les services publics augmente. #DebatPublic,75
2024-01-05,user09,chercheur,4686,Les politiques migratoires sont inefficaces. #Frontieres #PolitiqueMigratoire,12
2024-11-21,user08,chauffeur_vtc,1607,Les capacités d'accueil sont limitées. #Immigration,64
2024-08-13,user10,commercant,323,L'accueil des migrants est une responsabilité collective. #Asile,148
2025-01-17,user11,agent_public,3453,Un débat apaisé est nécessaire. #Europe #Asile,44
2024-05-11,user06,retraite,3997,La pression sur les services publics augmente. #Travail,75
2024-03-13,user03,employe_prive,1898,Il faut mieux contrôler les frontières. #Migration #DebatPublic,101
2024-05-15,user01,citoyen_engage,4445,La diversité culturelle est un atout. #PolitiqueMigratoire #Migration,31
2024-08-29,user08,chauffeur_vtc,255,Un débat apaisé est nécessaire. #Migration,143
2024-12-24,user15,urbaniste,2525,L'immigration est une richesse pour la société. #Asile,104
2024-02-29,user16,blogueur,846,Les capacités d'accueil sont limitées. #Travail #PolitiqueMigratoire,60
2024-08-02,user18,cadre_prive,4861,L'immigration manque de régulation. #DebatPublic #Asile,39
2024-12-19,user02,etudiant,3085,L'accueil des migrants est une responsabilité collective. #Migration #PolitiqueMigratoire,55
2024-11-26,user18,cadre_prive,2988,L'accueil des migrants est une responsabilité collective. #Travail,15
2024-12-05,user03,employe_prive,1787,La diversité culturelle est un atout. #Accueil,5
2024-04-15,user19,militant_asso,612,L'accueil des migrants est une responsabilité collective. #PolitiqueMigratoire,141
2024-11-01,user05,journaliste,73,Les capacités d'accueil sont limitées. #Europe,70
2024-03-30,user09,chercheur,950,La diversité culturelle est un atout. #PolitiqueMigratoire,6
2024-03-30,user01,citoyen_engage,2223,Les migrants contribuent à l'économie. #Migration,13
2024-08-17,user16,blogueur,3015,Les politiques migratoires sont inefficaces. #Immigration,131
2024-06-03,user17,doctorant,3802,Les migrants contribuent à l'économie. #DebatPublic #Migration,7
2024-12-30,user16,blogueur,3683,La pression sur les services publics augmente. #Migration,18
2024-05-20,user05,journaliste,4845,Les politiques migratoires sont inefficaces. #Travail #DebatPublic,140
2024-12-25,user04,enseignant,987,Les capacités d'accueil sont limitées. #Travail #Frontieres,141
2024-06-22,user14,patron_pme,3765,L'immigration est une richesse pour la société. #DebatPublic #PolitiqueMigratoire,102
2024-07-10,user09,chercheur,1300,L'immigration est une richesse pour la société. #DebatPublic,121
2025-01-16,user04,enseignant,3102,Il faut mieux contrôler les frontières. #Migration #DebatPublic,33
2024-12-06,user12,assistante_sociale,3514,Il faut mieux contrôler les frontières. #PolitiqueMigratoire #Migration,13
2024-09-16,user19,militant_asso,1792,Les capacités d'accueil sont limitées. #PolitiqueMigratoire,39
2024-07-07,user18,cadre_prive,991,Les politiques migratoires sont inefficaces. #Asile,71
2024-04-02,user01,citoyen_engage,2288,La pression sur les services publics augmente. #Accueil,79
2024-10-16,user05,journaliste,3333,L'immigration est une richesse pour la société. #Europe,17
2024-07-11,user07,infirmiere,3489,La diversité culturelle est un atout. #PolitiqueMigratoire #Migration,116
2024-03-20,user02,etudiant,1339,La pression sur les services publics augmente. #DebatPublic #Travail,12
2024-08-14,user20,consultant,3442,Un débat apaisé est nécessaire. #PolitiqueMigratoire,69
2024-02-26,user14,patron_pme,2370,La pression sur les services publics augmente. #Frontieres,124
2024-11-02,user13,ouvrier,498,L'accueil des migrants est une responsabilité collective. #Asile,1
2024-06-16,user10,commercant,1032,Les migrants contribuent à l'économie. #Accueil,1
2024-09-29,user13,ouvrier,1935,La pression sur les services publics augmente. #DebatPublic,128
2024-08-11,user02,etudiant,203,La pression sur les services publics augmente. #DebatPublic #Europe,117
2024-02-28,user10,commercant,3368,Les capacités d'accueil sont limitées. #PolitiqueMigratoire #Migration,5
2024-02-24,user14,patron_pme,2043,Il faut mieux contrôler les frontières. #DebatPublic,111
2025-01-16,user10,commercant,2831,L'accueil des migrants est une responsabilité collective. #Europe,56
2024-09-28,user04,enseignant,4227,La pression sur les services publics augmente. #Accueil #Frontieres,49
2024-03-15,user04,enseignant,2146,L'accueil des migrants est une responsabilité collective. #Accueil,50
2024-08-25,user16,blogueur,4668,Un débat apaisé est nécessaire. #PolitiqueMigratoire #Accueil,148
2024-02-04,user15,urbaniste,3891,La pression sur les services publics augmente. #PolitiqueMigratoire,113
2024-02-07,user17,doctorant,2592,L'immigration est une richesse pour la société. #Asile #Migration,118
2024-11-10,user03,employe_prive,4916,Un débat apaisé est nécessaire. #Travail,129
2024-11-29,user19,militant_asso,1592,Il faut mieux contrôler les frontières. #Immigration,82
2024-02-22,user15,urbaniste,2863,Les capacités d'accueil sont limitées. #Frontieres,21
2024-08-12,user15,urbaniste,4343,La pression sur les services publics augmente. #Asile #DebatPublic,133
2025-01-31,user14,patron_pme,2821,La pression sur les services publics augmente. #PolitiqueMigratoire,13
2024-10-12,user04,enseignant,3216,Un débat apaisé est nécessaire. #PolitiqueMigratoire,72
2024-10-25,user03,employe_prive,1208,Les migrants contribuent à l'économie. #Migration,89
2024-10-13,user10,commercant,3135,Il faut mieux contrôler les frontières. #DebatPublic,84
2024-07-04,user17,doctorant,199,L'accueil des migrants est une responsabilité collective. #Travail #Frontieres,92
2024-03-11,user08,chauffeur_vtc,1319,L'immigration est une richesse pour la société. #PolitiqueMigratoire,19
2024-03-08,user20,consultant,4942,L'accueil des migrants est une responsabilité collective. #Travail,96
2024-07-29,user02,etudiant,3034,Il faut mieux contrôler les frontières. #Travail #Frontieres,60
2024-05-02,user18,cadre_prive,2585,Les capacités d'accueil sont limitées. #Travail #Europe,120
2024-07-14,user10,commercant,4169,L'accueil des migrants est une responsabilité collective. #Accueil,135
2024-01-27,user09,chercheur,3986,L'immigration manque de régulation. #Asile,95
2025-01-25,user03,employe_prive,1363,Un débat apaisé est nécessaire. #DebatPublic,69
2024-04-23,user03,employe_prive,3745,Les politiques migratoires sont inefficaces. #DebatPublic,89
2024-07-10,user17,doctorant,1981,La pression sur les services publics augmente. #Immigration,98
2024-02-20,user11,agent_public,2796,La diversité culturelle est un atout. #Accueil #Travail,37
2024-11-11,user15,urbaniste,93,L'accueil des migrants est une responsabilité collective. #Europe,20
2024-09-27,user20,consultant,3517,Les capacités d'accueil sont limitées. #Migration #Immigration,28
2024-08-02,user08,chauffeur_vtc,3794,Les migrants contribuent à l'économie. #Europe,16
2024-05-03,user19,militant_asso,1226,Un débat apaisé est nécessaire. #Frontieres #DebatPublic,74
2024-12-06,user06,retraite,751,L'immigration manque de régulation. #DebatPublic,134
2024-01-23,user16,blogueur,3219,L'immigration est une richesse pour la société. #Migration #PolitiqueMigratoire,95
2025-01-10,user08,chauffeur_vtc,899,La pression sur les services publics augmente. #Immigration,148
2024-10-06,user12,assistante_sociale,2823,Les politiques migratoires sont inefficaces. #Accueil #Europe,44
2025-01-01,user03,employe_prive,3799,L'immigration est une richesse pour la société. #Immigration,9
2024-06-07,user11,agent_public,4272,Il faut mieux contrôler les frontières. #Asile #Immigration,101
2024-05-26,user07,infirmiere,2974,La pression sur les services publics augmente. #Migration #PolitiqueMigratoire,12
2024-07-23,user14,patron_pme,3652,L'accueil des migrants est une responsabilité collective. #Travail #PolitiqueMigratoire,98
2024-05-16,user17,doctorant,726,Un débat apaisé est nécessaire. #Europe,108
2024-06-13,user10,commercant,890,La diversité culturelle est un atout. #Travail #DebatPublic,20
2024-12-19,user06,retraite,3686,La diversité culturelle est un atout. #Asile #Immigration,89
2024-12-09,user03,employe_prive,3377,Les capacités d'accueil sont limitées. #Accueil,93
2024-12-13,user20,consultant,3639,L'accueil des migrants est une responsabilité collective. #PolitiqueMigratoire #DebatPublic,8
2024-01-17,user19,militant_asso,1306,La pression sur les services publics augmente. #Migration #Accueil,115
2024-07-06,user17,doctorant,3310,Les capacités d'accueil sont limitées. #Immigration,80
2024-09-12,user06,retraite,4291,L'immigration manque de régulation. #Asile #Travail,99
2024-11-09,user07,infirmiere,2389,L'accueil des migrants est une responsabilité collective. #Travail,125
2024-12-31,user06,retraite,3696,La pression sur les services publics augmente. #Migration #Asile,22
2024-03-21,user10,commercant,1476,L'immigration manque de régulation. #Accueil,92
2024-09-09,user08,chauffeur_vtc,265,La pression sur les services publics augmente. #Europe #Accueil,92
2024-02-14,user20,consultant,588,Les migrants contribuent à l'économie. #DebatPublic #Migration,79
2024-06-11,user05,journaliste,657,Un débat apaisé est nécessaire. #Accueil #Europe,115
2024-08-09,user05,journaliste,4169,Il faut mieux contrôler les frontières. #Asile,14
2024-03-23,user06,retraite,2693,Un débat apaisé est nécessaire. #Migration #Asile,57
2024-11-21,user07,infirmiere,4562,La diversité culturelle est un atout. #Europe,70
2024-10-30,user06,retraite,4806,Un débat apaisé est nécessaire. #Immigration #Europe,39
2024-01-24,user03,employe_prive,4774,Il faut mieux contrôler les frontières. #Immigration #Travail,67
2024-05-28,user18,cadre_prive,2524,Les migrants contribuent à l'économie. #Travail #Migration,123
2024-03-21,user02,etudiant,3651,L'accueil des migrants est une responsabilité collective. #Accueil #PolitiqueMigratoire,106
2025-01-10,user11,agent_public,2879,La diversité culturelle est un atout. #PolitiqueMigratoire,102
2024-08-26,user08,chauffeur_vtc,1053,L'accueil des migrants est une responsabilité collective. #Immigration,68
2024-07-15,user10,commercant,3475,Les capacités d'accueil sont limitées. #PolitiqueMigratoire #Frontieres,63
2024-09-12,user06,retraite,4266,La diversité culturelle est un atout. #Immigration #Migration,119
2024-09-15,user13,ouvrier,3795,La diversité culturelle est un atout. #Immigration,61
2024-09-10,user10,commercant,4944,L'immigration est une richesse pour la société. #DebatPublic,120
2024-05-15,user05,journaliste,3046,Les migrants contribuent à l'économie. #Europe,103
2024-07-04,user07,infirmiere,4582,Un débat apaisé est nécessaire. #Europe #Asile,73
2024-12-14,user20,consultant,1023,Les politiques migratoires sont inefficaces. #PolitiqueMigratoire #Europe,32
2024-04-11,user05,journaliste,4985,L'immigration est une richesse pour la société. #Immigration,130
2024-12-31,user05,journaliste,2778,Les capacités d'accueil sont limitées. #PolitiqueMigratoire,121
2024-06-12,user20,consultant,1381,La pression sur les services publics augmente. #Europe #Travail,100
2024-06-02,user19,militant_asso,3940,L'immigration est une richesse pour la société. #Asile #Immigration,4
2024-08-30,user20,consultant,2225,L'immigration manque de régulation. #Accueil #DebatPublic,148
2024-12-14,user05,journaliste,2034,L'immigration manque de régulation. #Immigration,8
2024-06-09,user15,urbaniste,3480,L'accueil des migrants est une responsabilité collective. #Europe #Travail,38
2024-12-27,user02,etudiant,1181,La diversité culturelle est un atout. #Europe #DebatPublic,132
2024-03-29,user11,agent_public,3815,La diversité culturelle est un atout. #Travail #Frontieres,136
2024-05-22,user08,chauffeur_vtc,4621,La diversité culturelle est un atout. #Frontieres #Travail,76
2024-09-02,user11,agent_public,2907,La pression sur les services publics augmente. #Migration #DebatPublic,143
2024-06-25,user13,ouvrier,1249,L'immigration est une richesse pour la société. #Travail #Asile,74
2024-04-19,user16,blogueur,1705,Un débat apaisé est nécessaire. #Accueil #Migration,137
2025-01-14,user20,consultant,4857,Un débat apaisé est nécessaire. #Frontieres,61
2024-02-21,user02,etudiant,3435,L'immigration manque de régulation. #Immigration,84
2024-03-21,user18,cadre_prive,3383,L'accueil des migrants est une responsabilité collective. #PolitiqueMigratoire #Asile,121
2025-01-28,user02,etudiant,782,L'immigration est une richesse pour la société. #DebatPublic,146
2024-01-19,user06,retraite,3302,La diversité culturelle est un atout. #Immigration,126
2024-10-17,user10,commercant,4987,La pression sur les services publics augmente. #Travail #Europe,27
2024-09-15,user05,journaliste,3884,L'immigration est une richesse pour la société. #Accueil #Travail,69
2025-01-02,user09,chercheur,1575,La pression sur les services publics augmente. #Accueil,3
2024-11-23,user20,consultant,3371,L'immigration manque de régulation. #Migration #Accueil,109
2024-09-01,user05,journaliste,2700,Les migrants contribuent à l'économie. #Travail,63
2024-06-17,user09,chercheur,2523,L'immigration manque de régulation. #PolitiqueMigratoire #Frontieres,149
2024-12-07,user02,etudiant,1018,Les migrants contribuent à l'économie. #Migration #Asile,119
2024-11-10,user12,assistante_sociale,1859,Les politiques migratoires sont inefficaces. #Travail,56
2024-07-10,user20,consultant,3456,Il faut mieux contrôler les frontières. #Frontieres,140
2024-02-11,user20,consultant,4354,La pression sur les services publics augmente. #Migration,114
2024-10-07,user02,etudiant,4190,Les capacités d'accueil sont limitées. #PolitiqueMigratoire,51
2024-08-14,user17,doctorant,1002,Les politiques migratoires sont inefficaces. #Europe,52
2024-01-29,user15,urbaniste,3764,Les politiques migratoires sont inefficaces. #Europe,33
2024-12-10,user15,urbaniste,2574,L'immigration est une richesse pour la société. #Migration,5
2024-08-04,user02,etudiant,2872,L'immigration manque de régulation. #Travail,16
2024-05-26,user02,etudiant,3399,Les politiques migratoires sont inefficaces. #DebatPublic #Travail,46
2024-07-11,user13,ouvrier,707,La diversité culturelle est un atout. #Accueil,138
2024-07-20,user18,cadre_prive,4382,Les capacités d'accueil sont limitées. #Immigration,32
2024-08-25,user10,commercant,4510,Les capacités d'accueil sont limitées. #Travail,108
2024-03-20,user12,assistante_sociale,2308,L'immigration manque de régulation. #DebatPublic,48
2025-01-27,user20,consultant,178,L'immigration est une richesse pour la société. #Travail,61
2024-12-10,user20,consultant,448,Les politiques migratoires sont inefficaces. #Frontieres #Europe,62
2024-03-12,user02,etudiant,4177,Un débat apaisé est nécessaire. #PolitiqueMigratoire #Frontieres,74
2024-03-14,user10,commercant,4320,La diversité culturelle est un atout. #Europe,56
2025-01-11,user19,militant_asso,1484,L'immigration manque de régulation. #DebatPublic #PolitiqueMigratoire,109
2024-07-28,user14,patron_pme,1272,Un débat apaisé est nécessaire. #Frontieres #Europe,76
2024-12-28,user10,commercant,1232,Il faut mieux contrôler les frontières. #DebatPublic #Accueil,118
2024-05-04,user13,ouvrier,2138,L'immigration est une richesse pour la société. #PolitiqueMigratoire #Migration,52
2025-01-05,user18,cadre_prive,1610,Un débat apaisé est nécessaire. #Migration,13
2025-01-24,user07,infirmiere,4863,L'accueil des migrants est une responsabilité collective. #Asile #Immigration,143
2024-04-07,user07,infirmiere,1011,Il faut mieux contrôler les frontières. #DebatPublic,122
2024-10-09,user08,chauffeur_vtc,2684,Un débat apaisé est nécessaire. #Asile #Europe,72
2024-09-19,user12,assistante_sociale,4123,Les migrants contribuent à l'économie. #Frontieres #PolitiqueMigratoire,119
2024-07-30,user11,agent_public,424,Les capacités d'accueil sont limitées. #Asile,144
2024-10-26,user18,cadre_prive,4794,L'accueil des migrants est une responsabilité collective. #Frontieres #DebatPublic,106
2024-05-05,user19,militant_asso,4140,La pression sur les services publics augmente. #Travail #Europe,140
2024-03-27,user15,urbaniste,2935,Un débat apaisé est nécessaire. #Accueil #Immigration,43
2024-01-18,user17,doctorant,658,Les politiques migratoires sont inefficaces. #Frontieres,12
2024-12-28,user03,employe_prive,1287,Les migrants contribuent à l'économie. #Immigration #Travail,2
2024-01-09,user16,blogueur,104,L'immigration manque de régulation. #Europe,136
2024-10-01,user09,chercheur,2398,Les politiques migratoires sont inefficaces. #Migration,4
2024-09-25,user04,enseignant,1269,Un débat apaisé est nécessaire. #PolitiqueMigratoire #Asile,61
2024-02-10,user13,ouvrier,3106,L'accueil des migrants est une responsabilité collective. #Asile,103
2024-11-30,user03,employe_prive,309,Les migrants contribuent à l'économie. #Immigration #Europe,23
2024-02-12,user06,retraite,4144,La pression sur les services publics augmente. #Europe,111
2024-04-27,user02,etudiant,1781,L'immigration est une richesse pour la société. #Asile,145
2024-10-15,user18,cadre_prive,319,La pression sur les services publics augmente. #Frontieres,45
2024-03-14,user19,militant_asso,3312,Un débat apaisé est nécessaire. #DebatPublic,19
2024-06-18,user18,cadre_prive,3194,L'immigration manque de régulation. #Immigration #Migration,35
2024-04-28,user14,patron_pme,672,Il faut mieux contrôler les frontières. #PolitiqueMigratoire #Immigration,87
2024-08-18,user09,chercheur,4069,Les migrants contribuent à l'économie. #Accueil #DebatPublic,58
2025-01-30,user03,employe_prive,2469,L'immigration manque de régulation. #Accueil #DebatPublic,63
2025-01-13,user05,journaliste,3241,L'immigration est une richesse pour la société. #Asile,81
2024-07-03,user15,urbaniste,2259,L'accueil des migrants est une responsabilité collective. #Travail #DebatPublic,26
2024-01-14,user04,enseignant,784,Il faut mieux contrôler les frontières. #DebatPublic #Immigration,90
2024-07-30,user10,commercant,3226,Il faut mieux contrôler les frontières. #Europe,21
2024-12-16,user06,retraite,3168,La diversité culturelle est un atout. #Travail #Accueil,43
2024-03-26,user03,employe_prive,3610,Les migrants contribuent à l'économie. #PolitiqueMigratoire,70
